Original,English,Vietnamese,Type
闪电豹,Lightning Leopard,Thiểm Điện Báo,term
震爆虎,Thunder Tiger,Chấn Bộc Hổ,term
雷鹰,Thunder Eagle,Lôi Ưng,term
冰霜鳄,Frost Crocodile,Băng Sương Ngạc,term
黑翼蝠,Black-Winged Bat,Hắc Dực Bức,term
柳蓉蓉,Liu Rongrong,Liễu Dung Dung,name
杨琪,Yang Qi,Dương Kỳ,name
池文杰,Chi Wenjie,Trì Văn Kiệt,name
侯然,Hou Ran,Hầu Nhiên,name
秦天,Qin Tian,Tần Thiên,name
薛阳,Xue Yang,Tiết Dương,name
废墟,The Ruins,Phế tích,location
平底锅集团,Frying Pan Group,Tập đoàn Chảo Rán,organization
星币,Star Coin,Tinh tệ,currency
命星,Natal Star,Mệnh tinh,term
变异兽,Mutant Beast,Thú biến dị,term
秦氏集团,Qin Group,Tập đoàn Tần Thị,organization
锅神,Pot God,Nồi Thần,name
深蓝星,Deep Blue Star,Sao Thâm Lam,location
动力机车,Power Locomotive,Mô tô năng lượng,term
人类命运联合共同体,Human Destiny Community,Cộng đồng Vận mệnh Nhân loại,organization
主星,Main Star,Chủ tinh,term
太阴星,Lunar Star,Thái Âm Tinh,term
太阳星,Solar Star,Thái Dương Tinh,term
莫志鸿,Mo Zhihong,Mạc Chí Hồng,name
宋丽,Song Li,Tống Lệ,name
朱正豪,Zhu Zhenghao,Chu Chính Hào,name
楚威,Chu Wei,Sở Uy,name
雷叔,Uncle Lei,Lôi thúc,name
施耀集团,Shiyao Group,Tập đoàn Thi Diệu,organization
南夜集团,Nanye Group,Tập đoàn Nam Dạ,organization
星图集团,Xingtu Group,Tập đoàn Tinh Đồ,organization
天元能量,Tianyuan Energy,Thiên Nguyên Năng Lượng,organization
基因改造液,Genetic Modification Fluid,Dịch cải tạo gen,term
星图,Star Map,Tinh Đồ,organization
南书易,Nan Shuyi,Nam Thư Dịch,name
木先生,Mr. Mu,Mộc tiên sinh,name
安岳市,Anyue City,Thành phố An Nhạc,location
南文斌,Nan Wenbin,Nam Văn Bân,name
南书韵,Nan Shuyun,Nam Thư Vận,name
秦修文,Qin Xiuwen,Tần Tu Văn,name
庞白松,Pang Baisong,Bàng Bạch Tùng,name
楚中天,Chu Zhongtian,Chu Trung Thiên,name
楚中越,Chu Zhongyue,Chu Trung Việt,name
毕志恒,Bi Zhiheng,Tất Chí Hằng,name
山河行省,Shanhe Province,Tỉnh Sơn Hà,location
何飞,He Fei,Hà Phi,name
神魔之墟,Ruins of Gods and Demons,Thần Ma chi Phế,location
夺运,Luck Stealing,Đoạt Vận,term
夺势,Momentum Stealing,Đoạt Thế,term
二胡,Erhu,Nhị hồ,term
废墟之盟,Ruins Alliance,Liên minh Phế Tích,organization
乐公子,Lord of Music,Hoàng Tử Âm Nhạc,name
分享之神,God of Sharing,Thần Chia Sẻ,name
二胡天王,Erhu Heavenly King,Thiên Vương Nhị Hồ,name
仙力,Immortal Power,Tiên lực,term
天元,Tianyuan,Thiên Nguyên,organization
南夜,Nanye,Nam Dạ,organization
楚三爷,Third Master Chu,Sở Tam gia,name
高怀安,Gao Huaian,Cao Hoài An,name
施礼信,Shi Lixin,Thi Lễ Tín,name
江河市,Jianghe City,Thành phố Giang Hà,location
东山市,Dongshan City,Thành phố Đông Sơn,location
禹王鼎,Yu Wang Tripod,Vũ Vương Đỉnh,name
霉运滔天,Overwhelming Misfortune,Vận Rủi Ngập Trời,term
食指大动,Index Finger Movement,Thực Chỉ Đại Động,term
醍醐灌顶,Tihu Guanding,Đề Hồ Quán Đỉnh,term
太阴星力,Lunar Star Power,Thái Âm tinh lực,term
乔峰,Qiao Feng,Kiều Phong,name
五大集团,Five Major Groups,Ngũ đại tập đoàn,organization
天元集团,Tianyuan Group,Tập đoàn Thiên Nguyên,organization
乐惑苍生,Music Bewitching the Masses,Nhạc Hoặc Thương Sinh,term
五感强化,Five Senses Enhancement,Ngũ Cảm Cường Hóa,term
平底锅,Frying Pan,chảo rán,term
鱼香肉丝,Yuxiang Shredded Pork,Thịt heo xào Ngư Hương,term
姨妈巾,Sanitary Pad,Băng vệ sinh,term
将军令,General's Command,Tướng Quân Lệnh,term
单刀赴会,Single Sword Meeting,Đơn Đao Phó Hội,term
小刀会序曲,Dagger Society Overture,Khúc dạo đầu Hội Tiểu Đao,term
京都,Jingdu,Kinh Đô,location
太阳星力,Solar Star Power,Thái Dương Tinh Lực,term
歌舞通灵,Song and Dance Spirit Connection,Ca Vũ Thông Linh,term
规则之力,Power of Rules,Quy Tắc Chi Lực,term
锅人,Pan-Person,Người Chảo,term
卫生巾,Sanitary Napkin,Băng vệ sinh,term
牵连,Involvement,Liên Lụy,term
秦氏,Qin Clan,Họ Tần,organization
二泉映月,Moon Reflected in the Second Spring,Nhị Tuyền Ánh Nguyệt,other
阿炳,A Bing,A Bính,name
牧羊曲,Shepherd's Song,Mục Dương Khúc,other
苏武牧羊,Su Wu Herding Sheep,Tô Vũ Mục Dương,other
十面埋伏,Ambush from Ten Sides,Thập Diện Mai Phục,other
秦王破阵乐,Prince of Qin's March,Tần Vương Phá Trận Nhạc,other
荒狼,Wild Wolf,sói hoang,term
云鹿,Cloud Deer,vân lộc,term
楚老三,Chu Third,Sở Lão Tam,name
巫族,Wu Clan,Vu tộc,organization
菜阵,Food Formation,Thực Trận,term
平底锅宝宝,Frying Pan Baby,em bé Chảo rán,name
阿努比斯,Anubis,Anubis,name
审判之秤,Scales of Judgment,Cân Công Lý,name
锅宝宝,,em bé Chảo,name
玉面琵琶精,,Ngọc Diện Tỳ Bà Tinh,name
轩辕坟三妖,,Hiên Viên Phần Tam Yêu,organization
纣王,,Trụ Vương,name
封神榜,Investiture of the Gods,Phong Thần Bảng,other
姜子牙,,Khương Tử Nha,name
阐教,Chanism,Xiển Giáo,organization
准圣,,Chuẩn Thánh,term
混元圣人,,Hỗn Nguyên Thánh Nhân,term
月亮神,,Thần Mặt Trăng,name
雷神,,Lôi Thần,name
万魂幡,,Vạn Hồn Phiên,term
赛马,,Tái Mã,other
光明行,,Quang Minh Hành,other
听松,,Thính Tùng,other
琴瑟和鸣,,Cầm Sắt Hòa Minh,term
剑齿虎,Saber-toothed tiger,Kiếm Xỉ Hổ,term
猛犸象,Mammoth,Mãnh Mã Tượng,term
周天星斗大阵,,Chu Thiên Tinh Đẩu Đại Trận,term
秦始皇,,Tần Thủy Hoàng,name
大巫,,Đại Vu,term
王灵官,,Vương Linh Quan,name
叔琨,,Thúc Côn,name
帝俊,,Đế Tuấn,name
大羿,,Đại Nghệ,name
大道法则,Great Dao Law,Đại Đạo Pháp Tắc,term
东皇太一,Donghuang Taiyi,Đông Hoàng Thái Nhất,name
玉帝,Jade Emperor,Ngọc Đế,name
灵官诀,,Linh Quan Quyết,term
真武,Zhenwu,Chân Vũ,name
闻仲,Wen Zhong,Văn Trọng,name
开天斧,Kaitian Axe,Khai Thiên Phủ,term
太极图,Taiji Diagram,Thái Cực Đồ,term
轩辕剑,Xuanyuan Sword,Hiên Viên Kiếm,term
成长之道,Growth Path,Trưởng Thành Chi Đạo,term
凝心诀,,Ngưng Tâm Quyết,term
齐星泽,,Tề Tinh Trạch,name
韩琦,,Hàn Kỳ,name
龙虎山,,Long Hổ Sơn,location
钱増礼,,Tiền Tăng Lễ,name
罗修永,,La Tu Vĩnh,name
木道人,,Mộc Đạo Nhân,name
陈景,,Trần Cảnh,name
沈兰衣,,Thẩm Lan Y,name
齐易真,,Tề Dịch Chân,name
河图,,Hà Đồ,name
洛书,,Lạc Thư,name
卢颖,,Lô Dĩnh,name
丁杰,,Đinh Kiệt,name
龙儿,,Long Nhi,name
青云门,,Thanh Vân Môn,organization
斩龙台,,Trảm Long Đài,location
浑坊县,,huyện Hồn Phường,location
风铃县,,huyện Phong Linh,location
言出法随,,Ngôn Xuất Pháp Tùy,term
命运之骰,,Xúc Xắc Vận Mệnh,term
钱能改命,,Tiền Năng Cải Mệnh,term
五弊三缺,,Ngũ Tệ Tam Khuyết,term
假天庭,,Thiên Đình giả,organization
木吒,,Mộc Tra,name
金吒,,Kim Tra,name
托塔天王,,Thác Tháp Thiên Vương,name
斩立决,,Trảm lập quyết,term
生死簿,,Sổ Sinh Tử,term
昊天金阙至尊玉皇赦罪大天尊玄穹高上帝,,Hạo Thiên Kim Khuyết Chí Tôn Ngọc Hoàng Xá Tội Đại Thiên Tôn Huyền Khung Cao Thượng Đế,name
五丈原,,Ngũ Trượng Nguyên,location
泥菩萨,,Ni Bồ Tát,name
刘伯温,,Lưu Bá Ôn,name
诸葛亮,,Gia Cát Lượng,name
伏羲,,Phục Hy,name
妖后,,Yêu Hậu,name
天王府,,Thiên Vương Phủ,location
三十六天,,Ba Mươi Sáu Tầng Trời,location
七十二地,,Bảy Mươi Hai Tầng Đất,location
三千宇宙,,Ba Ngàn Thế Giới,location
空间之道,,Không Gian Chi Đạo,term
命运之道,,Mệnh Vận Chi Đạo,term
雷劫,,Lôi kiếp,term
道侣,,đạo lữ,term
炉鼎,,lô đỉnh,term
金仙,Golden Immortal,Kim Tiên,term
玲珑塔,Exquisite Pagoda,Linh Lung Tháp,term
封神大劫,Investiture of the Gods Tribulation,Phong Thần đại kiếp,term
妲己,Daji,Đắc Kỷ,name
陈塘关,Chentang Pass,Trần Đường Quan,location
李靖,Li Jing,Lý Tịnh,name
天兵,Heavenly Soldiers,Thiên binh,term
地府,Underworld,Địa Phủ,organization
元神,Primordial Spirit,Nguyên thần,term
惠岸行者,Traveler Hui'an,Huệ Ngạn Hành Giả,name
木昊,,Mộc Hạo,name
大乘境,Mahayana Realm,Đại Thừa Cảnh,term
栾京,,Loan Kinh,location
孟州,Mengzhou,Mạnh Châu,location
计长老,,Kế trưởng lão,name
反差萌,Gap moe,sự lôi cuốn từ nét đối lập,term
骰子头套,Dice headpiece,mũ trùm xúc xắc,term
殷夫人,Lady Yin,Ân phu nhân,name
齐国,Qi State,Tề Quốc,location
鲁瑞,,Lỗ Thụy,name
浑铁棍,,Hồn Thiết Côn,term
城隍,City God,Thành Hoàng,name
土地,Earth God,Thổ Địa,name
天将,Heavenly Generals,Thiên tướng,term
李天王,Heavenly King Li,Lý Thiên Vương,name
先行官,Vanguard Official,Tiên hành quan,term
征讨使,Expedition Envoy,Chinh thảo sứ,term
计春,,Kế Xuân,name
孟州城,,Mạnh Châu Thành,location
牛供奉,,Ngưu Cung Phụng,name
桑丰,,Tang Phong,name
渡劫境,Tribulation Transcendence Realm,Độ Kiếp Cảnh,term
凌放,,Lăng Phóng,name
龙华,,Long Hoa,name
陈长老,,Trần trưởng lão,name
刘长老,,Lưu trưởng lão,name
我的心思你别猜,,"Tâm Tư Của Ta, Ngươi Đừng Đoán",term
杨柳儿,,Dương Liễu Nhi,name
杨春花,,Dương Xuân Hoa,name
赵伯东,,Triệu Bá Đông,name
赵江来,,Triệu Giang Lai,name
赵闵氏,,Triệu Mẫn Thị,name
吴双牛,,Ngô Song Ngưu,name
怡红院,,Di Hồng Viện,location
德春茶楼,,Đức Xuân Trà Lâu,location
凤翔大街,,phố Phượng Tường,location
灵官令,Spirit Official Token,Linh Quan Lệnh,term
因果线,Karma lines,Nhân quả tuyến,term
命运线,Fate lines,Mệnh vận tuyến,term
社死,Social death,xấu hổ chết,term
圣杯,Divination Blocks,Thánh Bôi,term
狐妖,Fox Demon,Hồ Yêu,name
西王母,Queen Mother of the West,Tây Vương Mẫu,name
展向真,,Triển Hướng Chân,name
万彬,,Vạn Bân,name
孟子沐,,Mạnh Tử Mộc,name
河图洛书,,Hà Đồ Lạc Thư,other
兽耳娘,Beast girl,Thú nhĩ nương,other
虎头琴,,Hổ Đầu Cầm,other
镇魔大元帅,,Trấn Ma Đại Nguyên Soái,term
荡魔大元帅,,Đảng Ma Đại Nguyên Soái,term
玄仙,,Huyền Tiên,term
天仙,,Thiên Tiên,term
魅惑天成,,Mị Hoặc Thiên Thành,term
风月幻象,,Phong Nguyệt Huyễn Tượng,term
窃国盗运,,Thiết Quốc Đạo Vận,term
替命,,Thế Mệnh,term
破妄之眼,,Phá Vọng Chi Nhãn,term
不如跳舞,Better to Dance,Chi Bằng Nhảy Múa Đi,term
中意他,I Like Him,Thích Anh Ấy,term
爱的奉献,Dedication of Love,Sự Dâng Hiến Của Tình Yêu,term
我对自己开了一枪,I Shot Myself,Ta Tự Bắn Mình Một Phát Súng,term
曾康,,Tằng Khang,name
木仙人,,Mộc Tiên Nhân,name
栾京城,,thành Loan Kinh,name
镇魔元帅,Demon-Suppressing Marshal,Trấn Ma Nguyên Soái,term
胡他,,Hồ Tha,other
九九天劫,,Cửu Cửu Thiên Kiếp,term
木使者,Messenger Mu,Mộc sứ giả,name
阎罗王,Yama,Diêm La Vương,name
胡灵,,Hồ Linh,name
金銮殿,Imperial Throne Room,Kim Loan Điện,location
紫霄雷劫,,Tử Tiêu Lôi Kiếp,term
圣人劫,,Thánh Nhân Kiếp,term
判官笔,Judge's Pen,Phán Quan Bút,term
天使翅膀,Angel Wings,Cánh thiên sứ,term
水骰子,Water Dice,Xúc Xắc Nước,term
飞升劫,Ascension Tribulation,Phi Thăng Kiếp,term
恶业回溯,Evil Karma Retrospection,Ác Nghiệp Hồi Tố,term
生命之道,Way of Life,Sinh Mệnh Chi Đạo,term
刘梦华,,Lưu Mộng Hoa,name
陈定坤,,Trần Định Khôn,name
柳昔时,,Liễu Tích Thời,name
武凤山,,Võ Phượng Sơn,name
至高无上赏善罚恶先天一炁雷法大天尊,,Chí Cao Vô Thượng Thưởng Thiện Phạt Ác Tiên Thiên Nhất Khí Lôi Pháp Đại Thiên Tôn,name
金沙门,,Kim Sa Môn,organization
功德观,,Công Đức Quan,organization
大帝庙,Emperor Temple,Đại Đế Miếu,location
接引之光,Light of Ascension,Tiếp dẫn chi quang,term
锦衣卫,Jinyiwei,Cẩm Y Vệ,organization
四天王,Four Heavenly Kings,Tứ Thiên Vương,organization
周易,Book of Changes,Chu Dịch,other
阴魂,Soul,Âm hồn,term
鬼差,Underworld messengers,Quỷ sai,term
渡劫,Tribulation transcendence,Độ kiếp,term
天劫,Heavenly tribulation,Thiên kiếp,term
飞升,Ascension,Phi thăng,term
天门,Heavenly Gate,Thiên môn,location
天仙境,Heavenly Immortal Realm,Thiên tiên cảnh,term
合奏团,Ensemble,Hợp tấu đoàn,organization
玄仙境,Mystic Immortal Realm,Huyền tiên cảnh,term
借种,Borrowing seed,Tá chủng,term
世上只有妈妈好,Only Mother is Good in the World,Thế Thượng Chỉ Hữu Ma Ma Hào,term
鲁冰花,Lu Bing Hua,Lỗ Băng Hoa,term
千里之外,Thousand Miles Away,Thiên Lý Chi Ngoại,term
因为我们是一家人,Because We Are Family,Nhân Vi Ngã Môn Thị Nhất Gia Nhân,term
三九天劫,,Tam Cửu Thiên Kiếp,term
弱水三千,,Nhược Thủy Tam Thiên,term
千澜引潮,,Thiên Lan Dẫn Triều,term
山河倒转,,Sơn Hà Đảo Chuyển,term
黑水噬魂,,Hắc Thủy Phệ Hồn,term
枪宝宝,,Súng Bảo Bảo,term
生命之气,,Sinh Mệnh Chi Khí,term
大道碎片,Great Dao Fragments,Đại Đạo Toái Phiến,term
记事本,Notebook,Ký Sự Bản,term
钢笔,Steel Pen,Bút Máy,other
木大帝,Mu Great Emperor,Mộc Đại Đế,name
紫霄神雷,Purple Heaven Divine Thunder,Tử Tiêu Thần Lôi,term
火眼金睛,Fiery Eyes Golden Pupils,Hỏa Nhãn Kim Tinh,term
莲花心经,Lotus Heart Sutra,Liên Hoa Tâm Kinh,term
无量心经,Infinite Heart Sutra,Vô Lượng Tâm Kinh,term
风月宝鉴,Precious Mirror of Romance,Phong Nguyệt Bảo Giám,term
冰霜巨龙,Frost Dragon,Băng Sương Cự Long,term
测谎,Lie detection,Máy phát hiện nói dối,term
欲望之镜,Mirror of Desire,Gương Dục Vọng,term
阿特拉斯魔镜,Atlas Magic Mirror,Gương Thần Atlas,item
真理之境,Mirror of Truth,Gương Sự Thật,item
赫尔墨斯双面镜,Hermes Two-sided Mirror,Gương hai mặt của Hermes,item
山河社稷图,Painting of Mountains and Rivers,Sơn Hà Xã Tắc Đồ,item
炼妖壶,Demon Refining Pot,Luyện Yêu Hồ,item
德拉莎,Delasha,Delasha,name
穆,Mu,Mục ,name
阿佛洛狄忒,Aphrodite,Aphrodite,name
赫菲斯托斯,Hephaestus,Hephaestus,name
安雅雪山,Anya Snow Mountain,Núi tuyết Anya,location
银冠城,Silvercrown City,Thành Vương Miện Bạc,location
莫洛帝国,Morrow Empire,Đế quốc Morrow,organization
至高神教,Supreme God Cult,Giáo Hội Thần Tối Cao,organization
战神教,God of War Cult,Giáo Hội Chiến Thần,organization
太阳神教,Sun God Cult,Giáo Hội Thần Mặt Trời,organization
海神教,Sea God Cult,Giáo Hội Thần Biển Cả,organization
死神教派,Death God Cult,Giáo Phái Tử Thần,organization
月神教,Moon Goddess Cult,Giáo Hội Thần Mặt Trăng,organization
商神教,God of Commerce Cult,Giáo Hội Thần Thương Nghiệp,organization
降临教派,Advent Cult,Giáo Phái Giáng Thế,organization
爱神教,God of Love Cult,Giáo Hội Thần Tình Yêu,organization
紫荆花军团,Bauhinia Legion,Quân Đoàn Bauhinia,organization
霍普,Hope,Hope,name
艾兰·莫洛,Alan Morrow,Alan Morrow,name
马库斯,Marcus,Marcus,name
奥古斯丁,Augustine,Augustine,name
古德,Good,Good,name
凛冬城,Winterfell,Thành Mùa Đông,location
龙牙城,Dragonfang City,Thành Long Nha,location
绝望山脉,Mountains of Despair,Dãy núi Tuyệt Vọng,location
鱼神缸,Fish God Vat,Vại Cá Thần,item
心愿之魔,Desire Demon,Quỷ Ước Nguyện,term
阿拉丁神灯,Aladdin Magic Lamp,Aladdin Magic Lamp,item
审判之镜,Mirror of Judgment,Gương Phán Xét,term
问心镜,Heart-Questioning Mirror,Gương Soi Tâm,term
艾兰,Alan,Alan,name
科恩,Cohen,Cohen,name
放逐之地,Land of Exile,Vùng Đất Trục Xuất,location
审判之神,God of Judgment,Thần Thẩm Phán,name
审判之光,Light of Judgment,Ánh Sáng Thẩm Phán,term
窃神者,God-Stealer,Kẻ Trộm Thần,term
神柄,Divine Authority,Thần Quyền,term
赛尔德,Seld,Seld,name
安东,Anton,Anton,name
艾莉薇,Alivie,Alivie,name
阿历克斯,Alex,Alex,name
雪莉,Shirley,Shirley,name
斯科特,Scott,Scott,name
赫尔墨斯,Hermes,Hermes,name
穆先生,Mr. Mu,Ngài Mục,name
白山城,White Mountain City,Thành Bạch Sơn,location
兽人平原,Orc Plains,Orc đồng bằng,location
商业神教,Commercial God Church,Giáo Hội Thần Thương Nghiệp,organization
水晶骰子,Crystal Dice,Xúc xắc Thủy Tinh,term
阿波罗,Apollo,Apollo,name
欲望天平,Scale of Desire,Cân Dục Vọng,term
虚空之足,Feet of the Void,Bước Chân Hư Không,term
虚空之手,Hand of the Void,Bàn Tay Hư Không,term
虚空之眼,Eye of the Void,Mắt Hư Không,term
虚空之躯,Body of the Void,Thân Thể Hư Không,term
加奥,Gao,Gao,name
安东尼·伊休特,Anthony Ishut,Anthony Ishut,name
罗伯特,Robert,Robert,name
凯西,Kathy,Kathy,name
卢瑟,Luther,Luther,name
阿尔忒弥斯,Artemis,Artemis,name
雅典娜,Athena,Athena,name
阿瑞斯,Ares,Ares,name
阿芙洛狄忒,Aphrodite,Aphrodite,name
曼恩·路易斯,Mann Lewis,Mann Lewis,name
雷吉,Reggie,Reggie,name
奥格,Auger,Auger,name
唐纳德,Donald,Donald,name
唐杰,Tang Jie,Đường Kiệt,name
太乙真仙,Taiyi True Immortal,Thái Ất Chân Tiên,term
许愿神灯,Wishing Lamp,Đèn Thần Ước Nguyện,term
死神教,Death God Cult,Tử Thần Giáo,organization
奥林匹斯,Olympus,Olympus,location
乌拉诺斯,Uranus,Uranus,name
克苏鲁,Cthulhu,Cthulhu,name
雷霆,Thunderbolt,Lôi Đình,term
美狄亚,Medea,Medea,name
欧罗巴,Europa,Europa,name
卡斯利托,Callisto,Callisto,name
拉达曼迪斯,Rhadamanthys,Rhadamanthys,name
倪克斯,Nyx,Nyx,name
塔尔塔罗斯,Tartarus,Tartarus,name
黄风城,Yellow Wind City,Hoàng Phong Thành,location
纸灯笼,Paper Lantern,Chỉ Đăng Lung,term
婚戒,Wedding Ring,Nhẫn Cưới,term
口罩,Mask,Khẩu Trang,term
蓝牙耳机,Bluetooth Earphones,Tai nghe Bluetooth,term
布偶,Puppet,Búp bê vải,term
神使,Divine Messenger,Thần Sứ,term
宙斯盾,Aegis,Aegis,term
鹰隼洞察,Falcon Insight,Nhãn Quang Chim Ưng,term
天罚之链,Chain of Heavenly Punishment,Xiềng Xích Trừng Phạt,term
天穹裁决,Sky Decree,Phán Quyết Thiên Không,term
速度之羽,Feather of Speed,Lông Vũ Tốc Độ,term
神王之握,Grasp of the God King,Bàn Tay Thần Vương,term
多喜,Doris,Doris,name
伊娥,Io,Io,name
达娜厄,Danae,Danae,name
心灵护盾,Soul Shield,Hộ Thuẫn Tâm Linh ,term
萨诺斯之剑,Sword of Thanos,Kiếm của Thanos,term
羽毛之靴,Winged Boots,Đôi Giày Có Cánh,term
西尼,Sini,Sini,name
生命神教,Life God Cult,Giáo Hội Sự Sống,organization
禁忌审判,Forbidden Judgment,Phán Quyết Cấm Kỵ,term
灵官印,Lingguan Seal,Linh Quan Ấn,term
神王之鞭,Whip of the God King,Roi Của Thần Vương,term
傀儡化身,Puppet Incarnation,Khôi Lỗi Hóa Thân,term
童心牢笼,Childlike Heart Cage,Lồng Giam Tâm Hồn Trẻ Thơ,term
庖丁解牛,Cook Ding Butchering an Ox,Bào Đinh Giải Ngưu,term
绷带封印,Bandage Seal,Xiềng Xích Băng Gạc,term
断念切割,Severance Cut,Đoạn Niệm Thiết Cát,term
盔甲特攻,Armor Special Attack,Phá Hủy Giáp Trụ,term
冥火引魂,Netherfire Soul Guiding,Minh Hỏa Dẫn Hồn,term
灯灭人亡,Lamp Out Life Ends,Đèn Tắt Mạng Vong,term
百鬼夜行,Night Parade of a Hundred Ghosts,Bách Quỷ Dạ Hành,term
波塞冬,Poseidon,Poseidon,name
德墨忒尔,Demeter,Demeter,name
赫斯提亚,Hestia,Hestia,name
曼恩,Mann,Mann,name
瑞根王国,Regan Kingdom,Vương quốc Regan,location
诸神日报,The Gods Daily,Nhật Báo Thần Linh,organization
缸中之脑,Brain in a Vat,Não trong hũ,term
永结同心,Eternal Union of Hearts,Vĩnh Kết Đồng Tâm,term
永恒牢笼,Eternal Cage,Ngục Tù Vĩnh Hằng,term
殉情,Martyrdom,Tuẫn Tình,term
人脸封印,Face Seal,Phong Ấn Gương Mặt,term
疫瘴隔绝,Miasma Isolation,Cách Ly Chướng Khí,term
毒菌蔓延,Fungal Spread,Bào Tử Độc Lan Tràn,term
卡米罗,Camilo,Camilo,name
阿芙洛狄特,Aphrodite,Aphrodite,name
奥林匹斯之耻,Shame of Olympus,Nỗi Nhục Nhã Của Olympus,term
禁术回溯,Forbidden Art Regression,Cấm Thuật Hồi Tố,term
诸神联军,Allied Army of the Gods,Liên Minh Các Vị Thần,organization
米卡罗,Mikalo,Mikalo,name
墨咒蚀魂,Ink Curse Soul Erosion,Mặc Chú Thực Hồn,term
因果之秤,Scales of Causality,Cán Cân Nhân Quả,term
意念移物,Telekinesis,Dịch Chuyển Vật Thể,term
欲望之神,God of Desire,Thần Dục Vọng,name
万能商人,Universal Merchant,Thương Nhân Vạn Năng,term
宝莲灯,Lotus Lantern,Bảo Liên Đăng,term
白石城,Whitestone City,Thành Bạch Thạch,location
日轮护体,Solar Wheel Body Protection,Vòng Quay Mặt Trời Bảo Hộ,term
光耀天罚,Luminous Heavenly Punishment,Ánh Sáng Trừng Phạt,term
战神分身,War God Clone,Phân thân của Chiến Thần,term
公平交易,Fair Trade,Giao Dịch Công Bằng,term
战神之惧,Fear of the War God,Nỗi Kinh Hoàng Của Chiến Thần,term
战神法相,War God Dharma Form,Thần Hình Chiến Thần,term
战神车驾,War God Chariot,Cỗ Xe Chiến Thần,term
金刚之躯,Diamond Body,Thân Thể Bất Hoại,term
战神之怒,Wrath of the War God,Cơn Thịnh Nộ Của Chiến Thần,term
克洛诺斯,Cronus,Cronus,name
克苏鲁邪神,Cthulhu Evil God,Tà thần Cthulhu,name
恐惧,Fear,Khủng Hoảng,name
黑夜,Night,Hắc Dạ,name
火焰,Flame,Hỏa Diễm,name
婚典结界,Wedding Barrier,Kết Giới Hôn Lễ,term
婚礼主持,Wedding Officiant,Chủ Trì Hôn Lễ ,term
婚礼领域,Wedding Domain,Hôn Lễ Lĩnh Vực,term
原罪之焰,Flame of Original Sin,Ngọn Lửa Tội Lỗi,term
妖怪联盟,Monster Alliance,Liên Minh Quái Vật,organization
